STATE,YEAR,WIND_PERCENT,SOLAR_PERCENT,WIND_SOLAR_PERCENT
RI,2019,3.09,0.73,3.82
RI,2020,2.63,2.17,4.8
RI,2021,2.26,3.14,5.4
RI,2022,3.0,4.58,7.58
RI,2023,1.82,4.01,5.83
SC,2018,0.0,0.52,0.52
SC,2019,0.0,0.86,0.86
SC,2020,0.0,1.76,1.76
SC,2021,0.0,2.33,2.33
SC,2022,0.0,2.44,2.44
SC,2023,0.0,2.74,2.74
SD,2018,22.99,0.01,23.0
SD,2019,19.66,0.01,19.67
SD,2020,40.21,0.01,40.22
SD,2021,54.18,0.01,54.19
SD,2022,57.81,0.01,57.82
SD,2023,54.4,0.25,54.65
TN,2018,0.05,0.21,0.26
TN,2019,0.05,0.4,0.44
TN,2020,0.05,0.42,0.47
TN,2021,0.04,0.44,0.47
TN,2022,0.02,0.88,0.9
TN,2023,0.02,1.25,1.27
TX,2018,16.24,0.67,16.91
TX,2019,17.69,0.9,18.59
TX,2020,19.91,1.76,21.68
TX,2021,21.32,3.05,24.37
TX,2022,22.39,4.23,26.62
TX,2023,22.66,5.07,27.73
US-Total,2018,6.64,1.53,8.16
US-Total,2019,7.26,1.74,9.0
US-Total,2020,8.6,2.23,10.83
US-Total,2021,9.42,2.81,12.23
US-Total,2022,10.5,3.41,13.9
US-Total,2023,10.3,3.95,14.25
UT,2018,2.11,5.92,8.03
UT,2019,2.13,5.8,7.93
UT,2020,2.24,7.16,9.4
UT,2021,1.99,8.22,10.21
UT,2022,1.88,9.93,11.81
UT,2023,2.09,12.15,14.23
VA,2018,0.0,0.82,0.82
VA,2019,0.0,1.0,1.0
VA,2020,0.0,1.35,1.35
VA,2021,0.05,3.53,3.59
VA,2022,0.06,5.28,5.34
VA,2023,0.05,6.08,6.14
VT,2018,17.17,5.39,22.56
VT,2019,16.87,7.16,24.03
VT,2020,18.97,9.74,28.71
VT,2021,16.11,8.48,24.59
VT,2022,19.02,10.51,29.54
VT,2023,13.85,8.02,21.87
WA,2018,6.72,0.0,6.72
WA,2019,6.26,0.04,6.3
WA,2020,8.03,0.04,8.07
WA,2021,8.55,0.05,8.59
WA,2022,7.07,0.07,7.15
WA,2023,7.42,0.36,7.78
WI,2018,2.53,0.06,2.59
WI,2019,3.03,0.06,3.09
WI,2020,2.99,0.15,3.15
WI,2021,2.6,0.57,3.17
WI,2022,3.11,1.34,4.45
WI,2023,2.96,2.05,5.01
WV,2018,2.76,0.0,2.76
WV,2019,2.65,0.0,2.65
WV,2020,3.57,0.0,3.57
WV,2021,2.7,0.0,2.7
WV,2022,3.91,0.0,3.91
WV,2023,4.11,0.0,4.11
WY,2018,8.97,0.0,8.98
WY,2019,10.09,0.45,10.54
WY,2020,12.85,0.41,13.26
WY,2021,19.49,0.42,19.91
WY,2022,21.33,0.41,21.74
WY,2023,20.37,0.42,20.79
